"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"17188.6" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 6.22272098195711 2000 2000 171877
"17188.7" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 5.80980964507457 2000 2000 171878
"17188.8" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 6.11855737889378 2000 2000 171879
"17188.9" "The Tiger Lily" "Vanguards of the Plains" "Fenn, George Manville" "McCarter, Margaret Hill" 6.1755751809945 2000 2000 171880
"17189" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 6.10286788926597 2000 2000 171881
"17189.1" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 5.89878315516982 2000 2000 171882
"17189.2" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 5.9532057098556 2000 2000 171883
"17189.3" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 6.39924979355289 2000 2000 171884
"17189.4" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 5.95585175210203 2000 2000 171885
"17189.5" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 5.94791350893446 2000 2000 171886
"17189.6" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 6.01178976597218 2000 2000 171887
"17189.7" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 5.94789160500245 2000 2000 171888
"17189.8" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 5.84607489097966 2000 2000 171889
"17189.9" "The Tiger Lily" "Condemned as a Nihilist" "Fenn, George Manville" "Henty, G. A. (George Alfred)" 5.9630822629479 2000 2000 171890
"17190" "The Tiger Lily" "The Holy War" "Fenn, George Manville" "Bunyan, John" 6.01303065348827 2000 2000 171891
