"V1" "V2" "author1" "author2" "sim" "l1" "l2" "index"
"22809.8" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.89236599224799 2000 2000 228089
"22809.9" "Fairy Gold" "The Trail of the Hawk" "Jacobs, W. W. (William Wymark)" "Lewis, Sinclair" 5.81564185470948 2000 2000 228090
"22810" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 6.06357288858188 2000 2000 228091
"22810.1" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 5.99082446354911 2000 2000 228092
"22810.2" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 5.8592434442532 2000 2000 228093
"22810.3" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 5.93212677173602 2000 2000 228094
"22810.4" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 5.99068416594733 2000 2000 228095
"22810.5" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 5.79707385021242 2000 2000 228096
"22810.6" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 6.03976080194779 2000 2000 228097
"22810.7" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 5.96601059691002 2000 2000 228098
"22810.8" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 5.894012353759 2000 2000 228099
"22810.9" "Fairy Gold" "Marguerite de Valois" "Jacobs, W. W. (William Wymark)" "Dumas, Alexandre" 5.63340361474165 2000 2000 228100
"22811" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 5.66604992857058 2000 2000 228101
"22811.1" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 5.69662774206366 2000 2000 228102
"22811.2" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 5.61637683198112 2000 2000 228103
"22811.3" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 5.75630092736415 2000 2000 228104
"22811.4" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 5.7961122515833 2000 2000 228105
"22811.5" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 5.65006303812725 2000 2000 228106
"22811.6" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 5.68614182518703 2000 2000 228107
"22811.7" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 5.71329121528769 2000 2000 228108
"22811.8" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 5.60022401635196 2000 2000 228109
"22811.9" "Fairy Gold" "The Gold Brick" "Jacobs, W. W. (William Wymark)" "Stephens, Ann S. (Ann Sophia)" 6.07033658761558 2000 2000 228110
"22812" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 5.73984572506142 2000 2000 228111
"22812.1" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 6.00400242050719 2000 2000 228112
"22812.2" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 6.04594807200201 2000 2000 228113
"22812.3" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 6.04800387272425 2000 2000 228114
"22812.4" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 6.17480686188939 2000 2000 228115
"22812.5" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 5.90079857252624 2000 2000 228116
"22812.6" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 5.64187661491349 2000 2000 228117
"22812.7" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 5.62815564687787 2000 2000 228118
"22812.8" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 5.90832580378284 2000 2000 228119
"22812.9" "Fairy Gold" "Clark" "Jacobs, W. W. (William Wymark)" "Herrick, Robert" 6.0749722010309 2000 2000 228120
"22813" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 6.09413786749031 2000 2000 228121
"22813.1" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 6.03421070363059 2000 2000 228122
"22813.2" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 5.95220264230575 2000 2000 228123
"22813.3" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 5.96568317019366 2000 2000 228124
"22813.4" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 5.9500956558192 2000 2000 228125
"22813.5" "Fairy Gold" "The Palace of Darkened Windows" "Jacobs, W. W. (William Wymark)" "Bradley, Mary Hastings" 5.94933776989038 2000 2000 228126
